Total configs: 1651
Building features...
Loading ML odds...
  [900] win=54.2% bets=247 ROI=+4.9%  ['elo_diff', 'home', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [914] win=56.6% bets=219 ROI=+9.8%  ['elo_diff', 'home', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [915] win=58.5% bets=224 ROI=+13.4%  ['elo_diff', 'home', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [916] win=55.6% bets=243 ROI=+7.2%  ['elo_diff', 'home', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [917] win=53.9% bets=219 ROI=+4.5%  ['elo_diff', 'home', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [918] win=57.1% bets=217 ROI=+10.9%  ['elo_diff', 'home', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [919] win=65.7% bets=750 ROI=+27.5%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'sos_diff']
  [920] win=65.8% bets=737 ROI=+27.6%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff']
  [921] win=65.7% bets=750 ROI=+27.4%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff']
  [922] win=65.6% bets=750 ROI=+27.2%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'trank_adjD_diff']
  [923] win=65.5% bets=748 ROI=+27.0%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'off_eff_r10_diff']
  [924] win=65.6% bets=756 ROI=+27.2%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'def_eff_r10_diff']
  [925] win=65.7% bets=735 ROI=+27.3%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff']
  [926] win=65.9% bets=751 ROI=+27.8%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff']
  [927] win=66.0% bets=752 ROI=+27.9%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'trank_adjD_diff']
  [928] win=65.0% bets=752 ROI=+26.1%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'off_eff_r10_diff']
  [929] win=65.6% bets=751 ROI=+27.3%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'def_eff_r10_diff']
  [930] win=66.1% bets=740 ROI=+28.0%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [931] win=66.0% bets=741 ROI=+27.9%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjD_diff']
