Total configs: 1651
Building features...
Loading ML odds...
  [400] win=54.0% bets=322 ROI=+4.2%  ['elo_pred', 'home', 'barthag_diff', 'sos_diff']
  [416] win=58.4% bets=291 ROI=+12.9%  ['elo_pred', 'home', 'trank_adjO_diff', 'off_eff_r10_diff']
  [417] win=53.7% bets=313 ROI=+3.7%  ['elo_pred', 'home', 'trank_adjO_diff', 'def_eff_r10_diff']
  [418] win=58.3% bets=283 ROI=+12.8%  ['elo_pred', 'home', 'trank_adjD_diff', 'off_eff_r10_diff']
  [419] win=53.1% bets=305 ROI=+2.6%  ['elo_pred', 'home', 'trank_adjD_diff', 'def_eff_r10_diff']
  [420] win=55.3% bets=275 ROI=+6.8%  ['elo_pred', 'home', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [421] win=65.7% bets=744 ROI=+27.5%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff']
  [422] win=65.8% bets=746 ROI=+27.6%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff']
  [423] win=65.9% bets=730 ROI=+27.7%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff']
  [424] win=66.2% bets=748 ROI=+28.3%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff']
  [425] win=65.6% bets=745 ROI=+27.2%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjD_diff']
  [426] win=65.5% bets=744 ROI=+27.0%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'off_eff_r10_diff']
  [427] win=65.7% bets=747 ROI=+27.4%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'def_eff_r10_diff']
  [428] win=66.3% bets=737 ROI=+28.7%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'sos_diff']
  [429] win=66.8% bets=727 ROI=+29.6%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff']
  [430] win=66.1% bets=740 ROI=+28.2%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'trank_adjO_diff']
  [431] win=66.3% bets=734 ROI=+28.7%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'trank_adjD_diff']
  [432] win=66.0% bets=738 ROI=+28.0%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'off_eff_r10_diff']
  [433] win=66.2% bets=743 ROI=+28.4%  ['elo_pred', 'massey_avg_diff', 'barthag_diff', 'def_eff_r10_diff']
  [434] win=66.2% bets=728 ROI=+28.3%  ['elo_pred', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff']
  [435] win=65.9% bets=741 ROI=+27.7%  ['elo_pred', 'massey_avg_diff', 'sos_diff', 'trank_adjO_diff']
  [436] win=66.3% bets=740 ROI=+28.7%  ['elo_pred', 'massey_avg_diff', 'sos_diff', 'trank_adjD_diff']
  [437] win=65.9% bets=741 ROI=+27.8%  ['elo_pred', 'massey_avg_diff', 'sos_diff', 'off_eff_r10_diff']
  [438] win=65.6% bets=747 ROI=+27.2%  ['elo_pred', 'massey_avg_diff', 'sos_diff', 'def_eff_r10_diff']
  [439] win=66.6% bets=728 ROI=+29.1%  ['elo_pred', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [440] win=67.0% bets=724 ROI=+29.8%  ['elo_pred', 'massey_avg_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [441] win=66.4% bets=730 ROI=+28.7%  ['elo_pred', 'massey_avg_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [442] win=66.3% bets=727 ROI=+28.5%  ['elo_pred', 'massey_avg_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [443] win=66.8% bets=740 ROI=+29.5%  ['elo_pred', 'massey_avg_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [444] win=66.0% bets=739 ROI=+28.0%  ['elo_pred', 'massey_avg_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [445] win=65.7% bets=749 ROI=+27.4%  ['elo_pred', 'massey_avg_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [446] win=66.1% bets=734 ROI=+28.1%  ['elo_pred', 'massey_avg_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [447] win=66.2% bets=748 ROI=+28.3%  ['elo_pred', 'massey_avg_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [448] win=65.6% bets=752 ROI=+27.1%  ['elo_pred', 'massey_avg_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [449] win=51.0% bets=621 ROI=-1.3%  ['elo_pred', 'margin_mean_diff', 'barthag_diff', 'sos_diff']
