Total configs: 1651
Building features...
Loading ML odds...
  [1100] win=54.4% bets=320 ROI=+4.9%  ['elo_pred', 'home', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1125] win=58.6% bets=285 ROI=+13.5%  ['elo_pred', 'home', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1126] win=54.0% bets=309 ROI=+4.2%  ['elo_pred', 'home', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1127] win=57.0% bets=272 ROI=+10.0%  ['elo_pred', 'home', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1128] win=55.6% bets=275 ROI=+7.4%  ['elo_pred', 'home', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1129] win=66.1% bets=746 ROI=+28.1%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'sos_diff']
  [1130] win=66.5% bets=726 ROI=+29.0%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'conf_elo_diff']
  [1131] win=66.1% bets=746 ROI=+28.1%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'trank_adjO_diff']
  [1132] win=65.6% bets=741 ROI=+27.2%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'trank_adjD_diff']
  [1133] win=65.8% bets=740 ROI=+27.7%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'off_eff_r10_diff']
  [1134] win=65.9% bets=745 ROI=+27.8%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff', 'def_eff_r10_diff']
  [1135] win=66.0% bets=730 ROI=+28.0%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'conf_elo_diff']
  [1136] win=66.4% bets=749 ROI=+28.6%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'trank_adjO_diff']
  [1137] win=66.2% bets=745 ROI=+28.3%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'trank_adjD_diff']
  [1138] win=65.8% bets=748 ROI=+27.6%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'off_eff_r10_diff']
  [1139] win=65.8% bets=749 ROI=+27.6%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff', 'def_eff_r10_diff']
  [1140] win=66.3% bets=730 ROI=+28.5%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [1141] win=66.4% bets=733 ROI=+28.8%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1142] win=65.8% bets=729 ROI=+27.6%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [1143] win=65.9% bets=730 ROI=+27.7%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [1144] win=66.2% bets=739 ROI=+28.3%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1145] win=65.8% bets=746 ROI=+27.6%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1146] win=66.0% bets=747 ROI=+28.0%  ['elo_pred', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
