Total configs: 1651
Building features...
Loading ML odds...
  [1250] win=51.0% bets=616 ROI=-1.4%  ['elo_pred', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1277] win=78.3% bets=442 ROI=+51.3%  ['home', 'massey_avg_diff', 'barthag_diff', 'sos_diff', 'trank_adjO_diff']
  [1278] win=76.4% bets=454 ROI=+47.8%  ['home', 'massey_avg_diff', 'barthag_diff', 'sos_diff', 'trank_adjD_diff']
  [1279] win=76.9% bets=463 ROI=+48.8%  ['home', 'massey_avg_diff', 'barthag_diff', 'sos_diff', 'off_eff_r10_diff']
  [1280] win=77.0% bets=453 ROI=+49.0%  ['home', 'massey_avg_diff', 'barthag_diff', 'sos_diff', 'def_eff_r10_diff']
  [1281] win=78.7% bets=437 ROI=+52.2%  ['home', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [1282] win=76.4% bets=450 ROI=+47.8%  ['home', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1283] win=77.2% bets=461 ROI=+49.4%  ['home', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [1284] win=78.2% bets=446 ROI=+51.3%  ['home', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [1285] win=76.2% bets=453 ROI=+47.1%  ['home', 'massey_avg_diff', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1286] win=78.0% bets=463 ROI=+50.8%  ['home', 'massey_avg_diff', 'barthag_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1287] win=77.7% bets=453 ROI=+50.2%  ['home', 'massey_avg_diff', 'barthag_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1288] win=76.1% bets=457 ROI=+47.3%  ['home', 'massey_avg_diff', 'barthag_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1289] win=75.8% bets=463 ROI=+46.6%  ['home', 'massey_avg_diff', 'barthag_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [1290] win=77.2% bets=469 ROI=+49.3%  ['home', 'massey_avg_diff', 'barthag_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [1291] win=78.0% bets=432 ROI=+50.9%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [1292] win=78.0% bets=432 ROI=+50.9%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [1293] win=77.2% bets=452 ROI=+49.4%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [1294] win=78.2% bets=449 ROI=+51.3%  ['home', 'massey_avg_diff', 'sos_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [1295] win=77.1% bets=437 ROI=+49.1%  ['home', 'massey_avg_diff', 'sos_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [1296] win=77.0% bets=457 ROI=+49.1%  ['home', 'massey_avg_diff', 'sos_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [1297] win=77.5% bets=457 ROI=+49.9%  ['home', 'massey_avg_diff', 'sos_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [1298] win=76.4% bets=454 ROI=+47.9%  ['home', 'massey_avg_diff', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [1299] win=76.8% bets=453 ROI=+48.6%  ['home', 'massey_avg_diff', 'sos_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
