Total configs: 1651
Building features...
Loading ML odds...
  [800] win=49.4% bets=464 ROI=-4.3%  ['elo_diff', 'elo_pred', 'barthag_diff', 'sos_diff', 'conf_elo_diff']
  [821] win=49.5% bets=479 ROI=-4.3%  ['elo_diff', 'elo_pred', 'sos_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [822] win=52.2% bets=475 ROI=+1.3%  ['elo_diff', 'elo_pred', 'sos_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [823] win=49.7% bets=477 ROI=-3.9%  ['elo_diff', 'elo_pred', 'sos_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [824] win=51.0% bets=465 ROI=-1.2%  ['elo_diff', 'elo_pred', 'sos_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [825] win=49.4% bets=468 ROI=-4.4%  ['elo_diff', 'elo_pred', 'conf_elo_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [826] win=52.2% bets=490 ROI=+1.3%  ['elo_diff', 'elo_pred', 'conf_elo_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [827] win=50.1% bets=459 ROI=-3.0%  ['elo_diff', 'elo_pred', 'conf_elo_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [828] win=51.9% bets=478 ROI=+0.6%  ['elo_diff', 'elo_pred', 'conf_elo_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [829] win=50.1% bets=459 ROI=-3.1%  ['elo_diff', 'elo_pred', 'conf_elo_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [830] win=52.1% bets=472 ROI=+1.1%  ['elo_diff', 'elo_pred', 'conf_elo_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [831] win=51.4% bets=473 ROI=-0.4%  ['elo_diff', 'elo_pred', 'trank_adjO_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [832] win=49.7% bets=469 ROI=-3.9%  ['elo_diff', 'elo_pred', 'trank_adjO_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [833] win=51.5% bets=456 ROI=-0.1%  ['elo_diff', 'elo_pred', 'trank_adjO_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [834] win=51.0% bets=455 ROI=-1.1%  ['elo_diff', 'elo_pred', 'trank_adjD_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [835] win=77.4% bets=496 ROI=+49.8%  ['elo_diff', 'home', 'massey_avg_diff', 'margin_mean_diff', 'barthag_diff']
  [836] win=76.3% bets=499 ROI=+47.8%  ['elo_diff', 'home', 'massey_avg_diff', 'margin_mean_diff', 'sos_diff']
  [837] win=77.6% bets=505 ROI=+50.2%  ['elo_diff', 'home', 'massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff']
  [838] win=77.2% bets=495 ROI=+49.3%  ['elo_diff', 'home', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff']
  [839] win=76.1% bets=489 ROI=+47.2%  ['elo_diff', 'home', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjD_diff']
  [840] win=76.6% bets=496 ROI=+48.3%  ['elo_diff', 'home', 'massey_avg_diff', 'margin_mean_diff', 'off_eff_r10_diff']
  [841] win=77.4% bets=492 ROI=+49.9%  ['elo_diff', 'home', 'massey_avg_diff', 'margin_mean_diff', 'def_eff_r10_diff']
  [842] win=76.7% bets=490 ROI=+48.4%  ['elo_diff', 'home', 'massey_avg_diff', 'barthag_diff', 'sos_diff']
